onisep_id,name
22488,CESI - campus de Lille
22489,CESI - campus de Reims
22490,CESI - campus de Dijon
22599,CESI - campus de Nantes
22615,Cnam Occitanie - site de Montpellier
22621,Cnam Occitanie - site de Toulouse
22643,EICnam Paris et Ile-de-France - campus de Mantes-la-Jolie
22644,EICnam Paris et Ile-de-France - campus de Saint-Denis
22774,Cnam La Roche-sur-Yon
22775,Cnam Le Mans
22803,Service formation professionnelle et alternance
22813,Cnam Nouvelle-Aquitaine - site de Marmande
22815,CNAM de Mayotte
22939,TBS Education
22976,EICnam Bourgogne Franche-Comté - site de Chalon-sur-Saône
22977,Centrale Lille Institut
23057,École des hautes études en santé publique - site de Paris-Nord
23068,ISIT - Institut de management et de communication interculturels
23074,Conservatoire national des arts et métiers PACA - site de Toulon
23115,UPEC CFA
23177,ESIEE-IT - CCI Paris Ile de France Éducation - campus de Pontoise
23251,Section langues et cultures des Amériques
23254,Formation sciences du langage
23348,Conservatoire national des arts et métiers Hauts-de-France - centre d'Amiens - antenne de Saint-Quentin
23621,Conservatoire national des arts et métiers Hauts de France - Centre de Lille - antenne de Maubeuge
23697,DUNEO - CFA de l'ULCO
23723,Département de formation et recherche lettres et sciences humaines
23733,Département de formation et recherche sciences et technologies
23735,Département de formation et recherche sciences juridiques et économiques
23740,Département de formation et recherche santé
23795,École d'ingénieurs Jules Verne - site d'Amiens
23946,INSA Martinique Caraïbe
24012,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Saint-Étienne - ISTP
24063,Cnam Grand Est - site de Verdun
24064,Cnam Grand Est - site de Metz
24074,Cnam Grand Est - site d'Épinal
24076,Cnam Grand Est - site de Sedan
24082,Cnam Grand Est - site de Chaumont
24084,Cnam Grand Est - site de Saint-Dizier
24090,Conservatoire national des arts et métiers PACA - site de Nice
24095,Cnam Grand Est - site de Mulhouse
24098,Université de technologie de Belfort-Montbéliard - campus de Sevenans
24198,Conservatoire national des arts et métiers - site de Paris
24211,Université de technologie de Tarbes Occitanie Pyrénées
24279,CESI - campus de Saint-Nazaire
24363,CNAM Centre Val de Loire
24491,Institut polytechnique de Paris
24536,École nationale supérieure d'arts et métiers - antenne de Niort
24538,École nationale supérieure d'arts et métiers - antenne de Dax
24542,Centre de formation aux carrières des bibliothèques Bretagne - Pays de la Loire
24552,EICnam Grand Est - site de Saint-Dié-des-Vosges
24553,EICnam Grand Est - UIMM Alsace - site d'Eckbolsheim
24555,CESI - campus du Mans
24764,Bretagne INP
24822,Institut national des sciences appliquées - Martinique Caraïbe
24827,Service d'accompagnement à la réussite
24835,Conservatoire national des arts et métiers PACA - site d'Aix-en-Provence
24916,CESI école d'ingénieurs - campus d'Orléans - site de Tours
24918,CESI école d'ingénieurs - campus de Grenoble
24922,Audencia Business School
24925,CESI école d'ingénieurs - campus de Nantes
24959,Cnam Nouvelle-Aquitaine - site d'Angoulême
25009,"Institut des Transversalités, des Sports et de la Santé - UPHF,  campus du Mont Houy"
25133,EICnam Paris et Ile-de-France - campus de Mantes-la-Ville
25239,École nationale supérieure d'arts et métiers - antenne de Bergerac
25251,Conservatoire national des arts et métiers Hauts-de-France - centre d'Amiens - antenne de Soissons
25253,Conservatoire national des arts et métiers Hauts-de-France - centre d'Amiens - antenne de Compiègne
25352,Conservatoire national des arts et métiers Bourgogne-Franche-Comté - Besançon
25391,EICnam Bretagne - Institut Boussingault
25688,Institut d'études françaises pour étrangers
25706,Observatoire de Paris - PSL
